,content,summary
0,焦面比例尺和畸变测量及稳定性分析是哪个工作包？,焦面比例尺和畸变测量及稳定性分析是'焦面比例尺和畸变测量及稳定性分析工作包（巡天模块-多色成像方面）'。
1,测光零点测量及变化分析是哪个工作包？,测光零点测量及变化分析是'测光零点测量及变化分析工作包（巡天模块-多色成像方面）'。
2,测光平场生成及稳定性分析属于哪个工作包？,测光平场生成及稳定性分析属于'测光平场生成及稳定性分析工作包（巡天模块-多色成像方面）'。
3,测光交叉定标是哪个工作包的任务？,测光交叉定标是'测光交叉定标工作包（巡天模块-多色成像方面）'的任务。
4,多色成像PSF建模及变化分析是哪个模块的工作包？,多色成像PSF建模及变化分析是'多色成像PSF 建模及变化分析工作包（巡天模块-多色成像方面）'。
5,孔径生长曲线分析及长期监测分析属于哪个模块的工作包？,孔径生长曲线分析及长期监测分析属于'孔径生长曲线分析及长期监测分析工作包（巡天模块-多色成像方面）'。
6,平场立方体参考图像生成及稳定性分析是哪个方面的工作包？,平场立方体参考图像生成及稳定性分析是'平场立方体参考图像生成及稳定性分析工作包（巡天模块-无缝光谱方面）'。
7,波长零点获取及稳定性分析是哪个方面的任务？,波长零点获取及稳定性分析是'波长零点获取及稳定性分析工作包（巡天模块-无缝光谱方面）'的任务。
8,追迹及光谱轨迹函数变化分析工作包涉及哪方面的内容？,追迹及光谱轨迹函数变化分析工作包涉及'追迹及光谱轨迹函数变化分析工作包（巡天模块-无缝光谱方面）'的内容。
9,波长定标色散函数生成及稳定性分析是哪方面的工作包？,波长定标色散函数生成及稳定性分析是'波长定标色散函数生成及稳定性分析工作包（巡天模块-无缝光谱方面）'的工作包。
10,流量定标响应函数生成及稳定性分析是哪个模块的工作包？,流量定标响应函数生成及稳定性分析是'流量定标响应函数生成及稳定性分析工作包（巡天模块-无缝光谱方面）'的模块工作包。
11,探测器本底与噪声工作包（MCI）主要负责什么？,探测器本底与噪声工作包（MCI）主要负责探测器本底与噪声相关的任务。
12,探测器暗电流工作包（MCI）的主要任务是什么？,探测器暗电流工作包（MCI）的主要任务是处理探测器暗电流相关的任务。
13,探测器PTC工作包（IFS）是做什么工作的？,探测器PTC工作包（IFS）是处理与探测器PTC（可能是像素传输特性或类似功能）相关的任务。
14,IFS定位工作包主要负责哪方面的任务？,IFS定位工作包主要负责IFS（可能是某种成像系统或光谱仪）的定位任务。
15,编号KSC-00-JK-0002-02.02的文档是由哪个单位编写的？,编号KSC-00-JK-0002-02.02的文档是由中国科学院国家天文台和中国科学院上海天文台编写的。
16,文档KSC-00-JK-0002-02.02是在哪个日期批准的？,文档KSC-00-JK-0002-02.02是在2023年7月15日批准的。
17,CSST科学数据处理系统的1级数据输入需求是什么？,CSST科学数据处理系统的1级数据输入需求是接收由科学与应用数据中心提供的0级数据产品和工程辅助数据产品，通过数据处理系统流水线加工0级数据产品，生成1级和2级科学数据产品，供科学用户使用。
18,1级数据结构接口设计和需求包括哪些内容？,1级数据结构接口设计和需求包括1级数据需求概述、各模块1级数据文件设计、命名和存储规范、接口示意图以及接口名称和项目识别号等。
19,主巡天多色成像模块（MSC_MS）的1级数据文件设计、命名和存储规范是什么？,主巡天多色成像模块（MSC_MS）的1级数据文件设计、命名和存储规范在文档中具体说明，包括完成仪器效应改正、宇宙线去除、背景光去除、畸变改正、天体测量定位、天体流量定标的单幅图像数据及其相关文件的格式和存储方式。
20,多通道成像仪模块（MCI）的1级数据包含哪些内容？,多通道成像仪模块（MCI）的1级数据包含完成仪器效应改正、宇宙线去除、背景光去除、天体测量定位、天体流量定标的单幅图像数据，及其对应的权重图像、mask图像数据及相关元信息文件。
21,积分视场光谱仪模块(IFS)的1级数据产品主要有哪些？,积分视场光谱仪模块(IFS)的1级数据产品主要包括完成仪器效应改正、宇宙线去除、光谱追迹过程的数据（由于文本被截断，未给出完整数据内容）。
22,星冕仪模块(CPIC)的1级数据包括哪些类型的图像？,文档没有直接提及星冕仪模块(CPIC)的1级数据包含的具体图像类型，但提到了1级数据通常包括完成仪器效应改正、背景光去除等处理后的数据。
23,高灵敏度太赫兹模块(HSTDM)的1级数据主要是什么格式？,文档没有直接提及高灵敏度太赫兹模块(HSTDM)的1级数据的具体格式，但通常CSST的1级数据采用FITS等科学数据格式。
24,接口示意图在文档中起到什么作用？,接口示意图在文档中起到展示各模块间数据接口关系和数据流路径的作用，帮助理解数据在系统中的处理流程。
25,1级数据产品是如何通过数据处理系统流水线生成的？,1级数据产品是通过科学数据处理系统的流水线加工0级数据产品生成的。流水线包括对探测器图像进行仪器效应改正、背景光去除、宇宙线去除等处理，并对数据进行一系列的定标，从而形成1级科学数据。
26,1级数据产品中的“天体测量定位”是什么意思？,1级数据产品中的“天体测量定位”是指对观测到的天体进行精确的位置测量和校准，以确定其在天球坐标系中的准确位置。
27,什么是“积分场光谱仪（IFS）的图像天体测量参数（IFS-WCS）”？,IFS-WCS是指积分场光谱仪（IFS）的图像天体测量参数，用于描述光谱图像中像素位置与天体在天球坐标系中的位置之间的对应关系。
28,无缝光谱数据处理的时间要求在哪里可以查看？,无缝光谱数据处理的时间要求可以在表14.16中查看。
29,表14.17中的多通道成像仪数据处理有哪些技术要求和可追踪性？,表14.17中列出了多通道成像仪数据处理的技术要求和可追踪性，但具体内容未在提供的文档段落中展示，因此需要直接查阅该表格获取详情。
30,积分视场光谱仪数据处理的技术要求和可追踪性是什么？,积分视场光谱仪数据处理的技术要求和可追踪性在表14.18中有具体说明，但具体内容未在提供的文档段落中展示，因此需要直接查阅该表格获取详情。
31,系外行星成像星冕仪数据处理有哪些技术要求和可追踪性？,系外行星成像星冕仪数据处理的技术要求和可追踪性在表14.19中有具体说明，但具体内容未在提供的文档段落中展示，因此需要直接查阅该表格获取详情。
32,巡天模块无缝光谱数据处理有哪些技术要求和可追踪性？,巡天模块无缝光谱数据处理的技术要求和可追踪性在表14.20中有具体说明，但具体内容未在提供的文档段落中展示，因此需要直接查阅该表格获取详情。
33,一般观测申请数据处理有哪些指标要求和可追踪性？,一般观测申请数据处理的指标要求和可追踪性在表14.21中有具体说明，但具体内容未在提供的文档段落中展示，因此需要直接查阅该表格获取详情。
