,question,answer
0,空间站望远镜积分场光谱仪主要观测什么？,空间站望远镜积分场光谱仪主要对近邻星系核球区的冷气体及其中心黑洞活动的直接观测结果。
1,超大质量黑洞的生长主要通过什么过程？,超大质量黑洞的生长是通过吸积过程。
2,积分场光谱技术主要用来证认什么？,积分场光谱技术用谱线的动力学特征证认内流与外流的存在和动力学属性。
3,空间站望远镜积分场光谱仪相比地面仪器有何优势？,空间站望远镜积分场光谱仪可以获得比地面类似仪器更好的空间分辨率，从而可以将类星体吸积和外流的研究扩展到更高的红移。
4,当吸积率变化时，吸积过程会经历哪些阶段？,当吸积率从超爱丁顿吸积率变化到亚爱丁顿吸积率时，吸积过程分别经历了Slim盘、标准盘和ADAF阶段。
5,引力透镜对观测活动星系核有何帮助？,引力透镜对背景源具有放大作用，可以看到一些更弱更遥远的源，同时利用引力透镜效应也可以看到目前望远镜难以分辨的区域（例如宽线区甚至吸积盘内区）。
6,活动星系核的X射线冕与什么有密切关联？,活动星系核的X射线冕与吸积盘有密切关联。
7,宽线区对研究超大质量黑洞有何重要意义？,宽线区是活动星系核与类星体中心结构的组成部分，深入研究其空间结构和动力学对精确测量黑洞质量、理解超大质量黑洞的质量增长历史及其与宿主星系的协同演化具有重要意义。
8,变脸活动星系核/类星体的特点是什么？,一部分活动星系核与类星体的宽发射线在几年（甚至几个月）的时间内就会消失或者出现，并伴有大幅度光变，被称为变脸活动星系核/类星体。
9,窄线区可以推出哪些物理参数？,窄线中可以推出窄线云的物理参数，如电子数密度、温度等。
10,无缝光谱初步位置定标工作包的输入是什么？,无缝光谱初步位置定标工作包的输入是无缝光谱0级图像天体的位置信息和来自多色成像的同次曝光的位置定标图像。
11,无缝光谱初步位置定标工作包的输出是什么？,无缝光谱初步位置定标工作包的输出是经过初步位置定标的1级二维光谱。
12,无缝光谱1级数据可用性标记工作包的目的是什么？,无缝光谱1级数据可用性标记工作包的目的是保证1级数据处理过程中没有出现显著影响2级数据结果的错误，使得1级数据结果满足2级数据生成观测源表的需求。
13,检查天区覆盖工作包是如何统计天区覆盖情况的？,检查天区覆盖工作包根据预先定义的天区划分表，统计分析每块小天区（brick）的观测覆盖情况，并将这一数据汇总进数据库。
14,无缝光谱伪直接成像工作包的主要输出有哪些？,无缝光谱伪直接成像工作包的主要输出有PSF均匀化后的无缝光谱二维图像和伪直接成像图像、重构的PSFs，PSF均匀化后的伪直接成像和数据测光星表，PSF均匀化后的无缝光谱零级像初始星表，Segmentation图像等一系列伪直接成像参考数据。
15,图像Mosaic处理模块的功能是什么？,图像Mosaic处理模块的功能是获得与给定的无缝光谱二维图像数据视场相近的、Mosaic后的多色成像图像数据及对应的weight和flag数据矩阵。
16,天文目标探测模块的输出是什么？,天文目标探测模块的输出是探测的目标星表。
17,无缝光谱二维图像的WCS二次定标由哪个模块完成？,无缝光谱二维图像的WCS二次定标由无缝光谱二维图像的WCS二次定标模块完成。
18,无缝光谱精确位置定标工作包的输入包括哪些？,无缝光谱精确位置定标工作包的输入包括无缝光谱对应的伴随图像和经过初步位置定标的1级二维光谱图像。
19,无缝光谱精确位置定标工作包的输出是什么？,无缝光谱精确位置定标工作包的输出是经过精确位置定标的2级光谱图像的精确的位置信息。
20,CRPIX1和CRPIX2在数据处理中需要提前设定什么？,CRPIX1和CRPIX2不需要地面临时解算，但需要在地面测试阶段提前设定，写入给数据中心的配置文件。
21,CRVAL1和CRVAL2的估算需要考虑哪些因素？,CRVAL1和CRVAL2需要根据指向以及焦面板的几何参数进行估算，至于提供给数据中心还是预处理完成，没有具体说明。
22,GAIN01到GAIN16的增益数据是如何上传的？,GAIN01到GAIN16的增益数据由指令上传（出现在#27.2IDS中），在#32中添加此参数。
23,RON01到RON16的数据在哪个阶段提供？,RON01到RON16的数据在地面测试阶段提供，写入配置文件。
24,EXPTIME和DARKTIME的关系是什么？,DARKTIME等于EXPTIME加DELAY，DELAY由地面测试阶段提供，写入配置文件。
25,SHTSTAT参数表示什么信息？,SHTSTAT参数表示快门状态（打开／关闭），由指令上传（出现在#27.2IDS中），在#32中添加此参数。
26,LEDFLAG、LEDSTAT和LEDEXPT分别表示LED灯的什么信息？,LEDFLAG、LEDSTAT和LEDEXPT分别表示LED灯的工作状态、工作时间信息，这些信息由指令上传（出现在#27.2IDS中），在#32中添加此参数。
27,CAMERA参数在MSC_IR数据中的值是什么？,CAMERA参数在MSC_IR数据中的值是‘IR’。
28,DETTEMP1、DETTEMP2和DETTEMP3分别记录什么时刻的温度？,DETTEMP1记录曝光开始时刻，主焦面的温度；DETTEMP2记录曝光结束时刻，主焦面的温度；DETTEMP3记录读出结束时刻，主焦面的温度。
29,MCI数据包中的DIFFUSER参数表示什么信息？,MCI数据包中的DIFFUSER参数表示挡板开合信息。
30,CRVAL2的值是多少？,39.68195466
31,CTYPE1代表什么类型的投影？,RA---TAN，即RA的世界坐标系统投影类型
32,CD1_1的数据类型是什么？,float
33,GAIN01的值是多少？,1.089977689
34,RON05的值是多少？,5.0
35,ROTIME0表示什么时间？,readout start time (UTC)，即2024-08-17T06:07:42.1
36,SHTSTAT为TRUE代表什么？,"shutter status, T=open, F=close，即快门状态为打开"
37,LEDTEMP的值是多少？,173.0
38,XTENSION在RAW EXTENSION HEADER KEYWORDS中的值是什么？,IMAGE
39,IMGNUM代表什么？,image number，即图像编号
40,暗帧校正的状态标志是什么？,暗帧校正的状态标志是STA_FLAT，其值为0。
41,天光背景估计的单位是什么？,天光背景估计的单位是e-/s per pixel，估计值为0.032387921。
42,饱和像素的流量限制是多少？,饱和像素的流量限制是300 e-/s。
43,CTE校正的状态标志是多少？,CTE校正的状态标志是STA_CTE，其值为1。
44,投影畸变参数PV1_0的值是多少？,投影畸变参数PV1_0的值是1.41E-05。
45,投影畸变参数PV2_15的值是多少？,投影畸变参数PV2_15的值是-2.770645494。
46,MCI天文测量的图像分类是什么？,MCI天文测量的图像分类是normal。
47,IFS组件的温度单位是什么？,IFS组件的温度单位是摄氏度（degC）。
48,IFS相机的名称是什么？,IFS相机的名称在数据中是可变的，例如可以是Blue，表示蓝端相机。
49,探测器像素尺寸（轴1）是多少微米？,探测器像素尺寸（轴1）是15微米。
50,S_OVSCAN的状态值是多少？,0
51,R_GAIN代表什么？,R_GAIN代表参考增益，类型为字符串(str)。
52,S_CTI的状态是什么？,1
